source,target,weight
189042188,28305955,2
189042188,3392933945,1
189042188,2714514184,7
15021321,192724847,1
15021321,29417304,1
1078099056,121572025,1
2329022846,278032161,1
2329022846,428333,1
2329022846,64643056,1
2329022846,89820928,1
2329022846,29417304,2
2329022846,7768402,2
2329022846,413389727,1
2329022846,487600344,1
2329022846,25295988,1
2329022846,54351432,1
2329022846,344322726,1
2329022846,93879982,1
2329022846,3188136854,1
541124310,872804047,1
22528423,38913093,1
247104369,29417304,39
247104369,28785486,6
247104369,4170491,1
20691578,29417304,3
20691578,39246283,1
20691578,62510409,1
20691578,27187343,1
20691578,64643056,2
20691578,49698134,1
20691578,429882018,1
20691578,487600344,1
38913093,772704049,1
38913093,431297783,1
38913093,52751069,1
38913093,51919860,1
26354392,93879982,1
127209068,1284956808,1
127209068,18597764,1
127209068,149751818,1
127209068,93963456,1
127209068,292374563,1
127209068,14090948,1
127209068,87313007,1
266129829,29417304,1
266129829,339686238,1
284757922,29417304,3
16042794,451754467,1
16042794,27592328,1
16042794,27186150,1
16042794,348664508,1
16042794,17250303,1
16042794,367750490,1
16042794,221878218,1
16042794,300977139,1
16042794,17052001,1
16042794,2250513013,1
16042794,29979814,1
16042794,3141672447,1
16042794,2902386714,1
16042794,3291409892,1
16042794,588097287,1
16042794,3158575645,1
161370318,239617607,1
161370318,224383563,1
423717038,54617733,1
423717038,8861752,1
423717038,56883665,1
423717038,791077327,1
423717038,809115114,1
423717038,728604440,1
423717038,493406216,1
423717038,66574844,1
423717038,759251,1
423717038,867728167,1
423717038,478342499,1
423717038,93879982,1
423717038,724455948,1
16892534,347915546,1
16892534,2540442901,1
16892534,840438794,1
1038728899,14529929,1
1038728899,467979185,1
1038728899,227837742,1
1038728899,323566262,1
1038728899,71249441,1
1176994477,2875761863,1
1176994477,199426090,1
1176994477,247104369,1
1176994477,483422404,1
1176994477,1686369542,3
1176994477,2979605302,1
1176994477,2737388846,1
1176994477,21103634,1
1176994477,343429133,1
1176994477,15372043,1
1176994477,889596158,1
1176994477,45647641,1
1176994477,1976232984,1
1176994477,2389924765,1
1176994477,67925952,1
1176994477,17769993,1
1176994477,3071739002,1
1176994477,30675466,2
1176994477,2437692727,1
1176994477,330596875,1
1176994477,3226556146,1
1176994477,301062648,1
1176994477,2925636439,1
2156533485,29417304,1
1151378996,139572365,1
1151378996,42786325,1
1151378996,21103634,1
2589349215,29417304,2
2589349215,3103070981,1
129811598,417553124,1
129811598,1386150134,1
129811598,728604440,1
129811598,3125799586,1
129811598,386026832,1
129811598,274004057,1
129811598,237606548,1
129811598,1699793220,1
129811598,2890113056,1
2788574383,622969430,1
2788574383,525452610,1
2788574383,3095893107,3
2788574383,3202286376,9
2788574383,47307465,1
2788574383,2832908819,1
3089126030,428333,1
1497458611,29417304,1
100136358,242425589,1
100136358,1242236492,1
100136358,119182046,1
100136358,15484076,1
100136358,66060268,1
100136358,71082732,1
100136358,142608366,1
100136358,1529435658,1
100136358,714305106,1
100136358,748683860,4
100136358,164821150,1
100136358,35956679,1
144643274,75052666,1
144643274,364423298,1
214549941,23995748,1
214549941,279390084,1
214549941,2620323673,1
214549941,583117972,1
29417304,954327512,1
29417304,97780931,111
29417304,34776514,1
29417304,91365997,1
29417304,423717038,39
29417304,43013901,1
29417304,455524335,4
29417304,455093636,3
29417304,499955286,2
29417304,40218616,2
