source,target,weight
23995748,730899890,1
23995748,8406572,1
23995748,301100621,1
23995748,25725812,2
23995748,24878014,1
23995748,3136555641,1
23995748,2995230517,1
23995748,28670599,1
23995748,409727117,1
23995748,8235612,1
23995748,49992327,1
23995748,3125282062,1
23995748,42766916,1
23995748,483810906,1
23995748,3271344794,1
23995748,3025606095,1
23995748,3093580959,1
23995748,3374629715,1
23995748,578707669,1
23995748,249237692,1
23995748,792971490,1
23995748,86245861,1
23995748,2816975187,1
23995748,49907409,1
23995748,3425675194,1
23995748,71590832,1
23995748,30409772,1
23995748,72150847,1
23995748,36582768,1
23995748,469523424,1
23995748,3342328876,1
23995748,3031444006,1
242652757,39246283,1
13850422,312125259,1
13850422,180824953,1
13850422,467726691,1
13850422,540757715,1
13850422,184635379,1
13850422,3215450093,1
13850422,27582307,1
13850422,1633117045,1
13850422,22878374,1
13850422,35700018,1
13850422,2770693656,1
13850422,410402655,1
13850422,3052922049,1
13850422,3916111,1
13850422,24743022,1
13850422,14707266,1
13850422,45969272,1
13850422,193711763,1
13850422,326889895,1
13850422,36890646,2
13850422,16796698,1
256524727,27995424,1
116820849,256524727,1
116820849,26458435,1
116820849,247878466,1
116820849,196621716,1
116820849,93879982,1
116820849,308698101,1
116820849,65404941,1
116820849,237606548,1
116820849,253833669,1
116820849,12096732,1
116820849,15410015,1
116820849,80483638,1
116820849,518646310,1
116820849,1439700691,1
116820849,16072089,1
116820849,46746701,1
116820849,3164790579,1
116820849,2905280710,1
116820849,2897920674,1
116820849,22691359,1
116820849,226340211,1
116820849,26134438,1
116820849,77850338,1
116820849,318754951,1
116820849,96606751,1
116820849,2999858775,1
2741312378,423717038,1
2742193386,423717038,1
206408150,423717038,1
24920395,54373497,1
24920395,25282365,1
24920395,602532288,3
24920395,266252872,1
24920395,2828277842,2
24920395,3167370863,1
24920395,822177991,3
24920395,29049770,1
24920395,2566996277,1
24920395,518646310,1
24920395,626098819,1
24920395,3152870109,1
24920395,289415543,1
24920395,546213528,1
24920395,3103508387,1
24920395,3076245165,1
24920395,2976773403,1
24920395,79062709,1
24920395,46826610,1
24920395,27009456,1
24920395,3042846871,1
24920395,3064152827,1
24920395,2967674135,1
24920395,450519586,1
24920395,622980472,1
24920395,507975898,1
24920395,3295074503,1
16440115,29417304,1
16440115,217224930,1
2796718409,29417304,1
20819691,381702960,1
199606534,381702960,1
199606534,459546914,1
199606534,59538317,1
199606534,2595845780,1
199606534,2903046506,1
199606534,3158119436,2
199606534,21084347,1
199606534,24830703,1
199606534,2148781257,1
199606534,2946085085,1
199606534,415851069,1
199606534,344035749,1
199606534,24274893,1
199606534,76848978,1
199606534,464308569,1
199606534,611058482,1
199606534,27818323,1
199606534,234664198,1
199606534,300051750,1
199606534,217653755,1
199606534,29417304,2
199606534,349211257,1
199606534,35259506,1
199606534,402355096,1
199606534,36058205,1
199606534,327545905,1
199606534,2318926751,3
199606534,300247293,1
199606534,584324219,1
199606534,35906256,1
199606534,2506745091,3
199606534,939282068,1
199606534,981764612,1
199606534,24522990,3
199606534,289442042,1
199606534,2331888055,1
199606534,47070597,1
199606534,58980604,1
199606534,32856096,1
199606534,36449013,1
199606534,21158656,1
199606534,265523983,2
199606534,2168875006,1
199606534,2342622017,1
199606534,334365228,1
199606534,80060184,1
199606534,325564030,1
199606534,242652757,1
199606534,2896734580,2
199606534,275714700,2
199606534,574600705,1
199606534,93879982,1
199606534,316756379,1
199606534,271166410,1
199606534,2712171115,1
199606534,2799248075,1
199606534,91044182,1
199606534,64643056,2
199606534,45087847,2
199606534,233546048,1
199606534,247399641,1
199606534,473533487,1
199606534,587926686,1
199606534,423052635,1
199606534,68156382,1
199606534,2620323673,5
199606534,3033630329,1
199606534,632579211,1
199606534,3130848303,1
199606534,2224229290,1
199606534,3125799586,1
199606534,49134274,2
199606534,49622105,1
199606534,91383861,1
199606534,247878466,2
199606534,225527111,1
199606534,24220954,1
199606534,20881987,1
199606534,53377882,1
199606534,49992327,1
199606534,546394376,1
199606534,31295101,1
199606534,938337240,1
199606534,81705469,1
199606534,235822567,1
199606534,61314212,1
199606534,243948272,1
199606534,238208264,1
