source,target,weight
1235891824570454017,304952647,5
1235891824570454017,1844740808,1
1235891824570454017,1289438742,1
1235891824570454017,26719898,1
1235891824570454017,43064490,2
1235891824570454017,146569971,1
1235891824570454017,584069282,3
1235891824570454017,64657405,13
1235891824570454017,296260628,2
1235891824570454017,54204320,4
1235891824570454017,380648579,1
1235891824570454017,16664681,1
1235891824570454017,40778270,1
1235891824570454017,1240771852395413504,1
1235891824570454017,125215990,1
15816070,2809959174,1
15816070,821699497,1
15816070,8736882,1
3805847837,85691838,2
3805847837,61118465,1
3805847837,787737762,1
3805847837,896051281604870144,1
3805847837,71351724,2
2687542706,3874854869,1
2687542706,27261271,1
2687542706,708238897688535040,2
2687542706,298090151,1
2687542706,4297938873,1
2687542706,28824136,3
2687542706,61725936,1
2687542706,319034693,1
2687542706,87298751,1
2687542706,914009283171426304,1
2687542706,866189261384626176,1
2687542706,41823451,1
2687542706,489371892,1
2687542706,792254042,1
2687542706,3766042516,1
2687542706,775986699491020800,1
2687542706,334220117,2
2687542706,493250831,1
2687542706,4328930475,1
361769454,952617255967207424,2
222404297,301326338,3
222404297,2350048494,1
222404297,2252072101,1
222404297,304007711,1
625562499,939714944144232449,2
625562499,952506773491060738,2
625562499,814813830,1
625562499,815260820,1
625562499,938729294578233344,1
625562499,791734710,1
1082311988926124036,1235891824570454017,1
299273962,892851260763676673,1
299273962,451192624,1
299273962,876993799951724545,1
299273962,85181709,1
299273962,94476810,1
299273962,521755123,2
299273962,4056200494,1
299273962,351892125,1
299273962,582369303,1
299273962,83540809,1
299273962,3002685765,1
299273962,3683151442,1
299273962,723748188444717057,1
14243046,625562499,1
14243046,40325461,1
14243046,3439355824,1
3874854869,625562499,1
1224438578496909312,455024343,1
1152164713,219329527,1
15893884,952114914,1
19103793,25807680,1
415507521,86244951,2
415507521,5618162,1
415507521,770628845196017664,1
415507521,757303975,1
415507521,727526440820985856,1
415507521,979540728220176384,1
415507521,734090702,1
415507521,61118465,1
2680314657,2740752309,1
123689096,233788247,1
491524469,952988827,1
2758723732,4093441,1
335052515,3805847837,2
1113693775707164672,470540717,1
351153088,37963496,1
3342643067,819618939567280129,1
2273197344,879161563,1
1268979421937008640,1328274298616897536,1
193410651,963158134729650177,1
232519990,819908524138496000,1
232519990,282252740,1
232519990,23354438,1
232519990,2861650798,1
232519990,29224906,1
232519990,2903118497,1
232519990,742435366175526912,3
1029793559363416068,516514025,1
827119753537937408,85227160,5
827119753537937408,969781208321331201,1
827119753537937408,850763880775262208,1
827119753537937408,904408999,1
1104780144,421334372,1
1426147754,935942321756966912,1
155930120,369307681,2
155930120,16436265,1
155930120,17389318,1
155930120,821699497,7
155930120,17749086,1
155930120,2809959174,8
155930120,486788914,2
155930120,252794509,7
155930120,37109075,1
155930120,774610112,1
155930120,3249508905,2
155930120,594223726,1
155930120,52770751,5
155930120,23655688,3
155930120,273552695,1
155930120,1961096371,1
155930120,3185533382,1
155930120,769251079917887489,2
155930120,3593677755,1
155930120,245180552,1
155930120,48205643,1
155930120,4612856479,6
155930120,936078120,1
155930120,3397005419,4
155930120,21365372,1
155930120,59811175,1
155930120,737662502553722881,1
155930120,290611406,1
155930120,848180033688612864,1
155930120,480418245,1
155930120,632030991,1
155930120,166985027,5
155930120,283489788,1
155930120,834502485658234880,3
155930120,2314087860,4
155930120,593137889,1
155930120,3066012280,1
155930120,36065127,2
155930120,221792047,1
155930120,286320498,1
155930120,1719253842,3
155930120,305325817,1
155930120,25516222,1
155930120,171143321,1
155930120,961698932278542336,1
155930120,603724114,1
155930120,60058363,1
155930120,327394273,1
155930120,519100684,1
155930120,84366480,2
155930120,790576734,1
155930120,555220899,1
155930120,15673997,4
155930120,302984766,5
155930120,364861760,1
155930120,18999969,5
155930120,39582722,1
155930120,25408934,1
155930120,2416511266,1
155930120,229661306,1
155930120,728201947367518208,1
155930120,2245797112,1
155930120,74753016,1
155930120,32871593,1
155930120,928081838467362817,2
155930120,988601164785635330,1
155930120,67763905,1
155930120,338358423,1
155930120,21212604,2
155930120,500410246,1
155930120,3221899499,1
155930120,4301940134,1
155930120,2600359297,1
155930120,222987791,1
155930120,56409371,1
155930120,735439969,1
155930120,49687037,1
155930120,76332033,1
155930120,544268841,1
155930120,856852362278948864,1
155930120,19055125,1
155930120,19769774,1
155930120,253688871,1
155930120,827206955756298241,1
155930120,761727296243892224,1
155930120,198811065,1
155930120,2777730772,2
155930120,237176284,1
155930120,2404776373,1
155930120,160223497,1
155930120,965715231505895430,1
155930120,34705390,1
155930120,334856992,1
155930120,24369408,1
155930120,374141015,1
155930120,28001773,1
155930120,271445418,1
155930120,2333613415,1
155930120,29320803,1
155930120,933446953,1
155930120,276717768,1
155930120,546527413,1
189282092,577349601,1
309932421,44373882,1
4872796601,82313393,1
22240612,2366200550,1
22240612,85181709,1
22240612,586879009,1
